giver_orig,giver,giver_wiki,giver_name,WikidataID
World Bank Group,World Bank Group,,World Bank Group,
"Manitoba Infrastructure, Canada","Manitoba Infrastructure, Canada",,Manitoba Infrastructure,
"Mr. Ali Bin Fetals Al Marri, Attorney General of Qatar, Government of the State of Qatar","Ali Bin Fetals Al Marri, Attorney General of Qatar, Government of the State of Qatar",,Ali Bin Fetals Al Marri,
Saudi Aramco Oil Company,Saudi Aramco Oil Company,,Saudi Aramco Oil Company,
The World Government Summit,The World Government Summit,,The World Government Summit,
"Bundestag/Bundesrat, The Federal Republic of Germany","Bundestag/Bundesrat, The Federal Republic of Germany",,Bundestag/Bundesrat,
"Mr. Michael Meier, FES Representative to the U.S. and Canada","Michael Meier, FES Representative to the U.S. and Canada",,Michael Meier,
"His Royal Highness Prince Salman bin Hamad bin Isa Al Khalifa, Crown Prince of the Kingdom of Bahrain","Prince Salman bin Hamad bin Isa Al Khalifa, Crown Prince of the Kingdom of Bahrain",,Prince Salman bin Hamad bin Isa Al Khalifa,
"General Thawip Netniyom, Secretary General of the National Security Council of the Kingdom of Thailand","General Thawip Netniyom, Secretary General of the National Security Council of the Kingdom of Thailand",,Thawip Netniyom,
"His Majesty, King Abdullah II ibn Al-Hussein of the Hashemite Kingdom of Jordan",King Abdullah II ibn Al-Hussein of the Hashemite Kingdom of Jordan,,King Abdullah II ibn Al-Hussein of the Hashemite Kingdom of Jordan,
"Sr. Victor Cervera Pacheco, Governor of Yucatan Mexico","Sr. Victor Cervera Pacheco, Governor of Yucatan Mexico",,Sr. Victor Cervera Pacheco,
"His Excellency Massimo D'Alema and Mrs. D'Alema, President of the Council of Ministers of the Italian Republic","Massimo D'Alema and D'Alema, President of the Council of Ministers of the Italian Republic",,Massimo D'Alema and D'Alema,
"His Excellency Alvaro Arzu Irigoyen, President of the Republic of Guatemala","Alvaro Arzu Irigoyen, President of the Republic of Guatemala",,Alvaro Arzu Irigoyen,
"The Honorable Dr. Vilma R. de Castellanos, Mayor of Tegucigalpa, Tegucigalpa, Honduras","Vilma R. de Castellanos, Mayor of Tegucigalpa, Tegucigalpa, Honduras",,Vilma R. de Castellanos,
"His Excellency Ljubco Georgievski, The Prime Minister of the Former Yugoslav Republic of Macedonia and Mrs. Georgievska","Ljubco Georgievski, The Prime Minister of the Former Yugoslav Republic of Macedonia and Georgievska",,Ljubco Georgievski,
"His Excellency Sir Michael Hardie-Boys, G.C.M.G., Governor General of New Zealand","Sir Michael Hardie-Boys, G.C.M.G., Governor General of New Zealand",,Sir Michael Hardie-Boys,
"His Excellency Phan Van Khai, Prime Minister of the Socialist Republic of Vietnam","Phan Van Khai, Prime Minister of the Socialist Republic of Vietnam",,Phan Van Khai,
"Their Majesties King Abdullah II and Queen Rania al Abdullah, Jordan","Their Majesties King Abdullah II and Queen Rania al Abdullah, Jordan",,Their Majesties King Abdullah II and Queen Rania al Abdullah,
"Their Majesties, The King and Queen of Norway","Their Majesties, The King and Queen of Norway",,Their Majesties,
"The Honorable Erol Cakir, Governor of Istanbul, The Republic of Turkey","Erol Cakir, Governor of Istanbul, The Republic of Turkey",,Erol Cakir,
"The Honorable Dimitris L. Avramopoulos, The Mayor of Athens and Mrs. Avramopoulos, The Hellenic Republic","Dimitris L. Avramopoulos, The Mayor of Athens and Avramopoulos, The Hellenic Republic",,Dimitris L. Avramopoulos,
"The Honorable Yordon Sokolov, President, National Assembly, Republic of Bulgaria","Yordon Sokolov, President, National Assembly, Republic of Bulgaria",,Yordon Sokolov,
"His Majesty Sultan Haji Hassanal Bolkiah Mu' Izzaddin Waddaulah, Sultan and Yang Di-Pertuan of Brunei Darussalam","Sultan Haji Hassanal Bolkiah Mu' Izzaddin Waddaulah, Sultan and Yang Di-Pertuan of Brunei Darussalam",,Sultan Haji Hassanal Bolkiah Mu' Izzaddin Waddaulah,
Their Imperial Majesties The Emperor and Empress of Japan,Their Imperial Majesties The Emperor and Empress of Japan,,Their Imperial Majesties The Emperor and Empress of Japan,
Mr. Joe Harrington Mayor of Limerick Ireland,Joe Harrington Mayor of Limerick Ireland,,Joe Harrington Mayor of Limerick Ireland,
"The Honorable Licenciado Xavier Abreu Sierra, Presidente Municipal de Merida, Merida, Yucatan Mexico","Licenciado Xavier Abreu Sierra, Presidente Municipal de Merida, Merida, Yucatan Mexico",,Licenciado Xavier Abreu Sierra,
"His Excellency Ernesto Zedillo Ponce de Leon, President of the United Mexican States","Ernesto Zedillo Ponce de Leon, President of the United Mexican States",,Ernesto Zedillo Ponce de Leon,
