giver_orig,giver,giver_wiki,giver_name,WikidataID
"Engineer Abdallah Bin Abbas Bin Ahmad, Mayor of Muscat Municpality","Engineer Abdallah Bin Abbas Bin Ahmad, Mayor of Muscat Municpality",,Engineer Abdallah Bin Abbas Bin Ahmad,
"Walid Joumblatt, Chairman of the Progressive Socialist Party","Walid Joumblatt, Chairman of the Progressive Socialist Party",,Walid Joumblatt,
"His Excellency Al Nour Nasser Salem, Brigradier General of Jordan","Al Nour Nasser Salem, Brigradier General of Jordan",,Al Nour Nasser Salem,
"Colonel Matar Hamad Al Muhairy, General Director, Security Affairs and Ports, UAE","Colonel Matar Hamad Al Muhairy, General Director, Security Affairs and Ports, UAE",,Matar Hamad Al Muhairy,
"Saudi Telecommunications, Government of the Kindgom of Saudi Arabia","Saudi Telecommunications, Government of the Kindgom of Saudi Arabia",,Saudi Telecommunications,
"Dr. Mohamed Al-Mezher, Secretary General of the Kingdom of Saudi Arabia","Mohamed Al-Mezher, Secretary General of the Kingdom of Saudi Arabia",,Mohamed Al-Mezher,
"Abdullah S. Jum'ah, CEO of Aramco","Abdullah S. Jum'ah, CEO of Aramco",,Abdullah S. Jum'ah,
"Baltazar Hinojosa, Mayor of the City Matamoros","Baltazar Hinojosa, Mayor of the City Matamoros",,Baltazar Hinojosa,
"Brigadier General ATM Amin, Director, Counter Terrorism Bureau, Bangladesh","Brigadier General ATM Amin, Director, Counter Terrorism Bureau, Bangladesh",,ATM Amin,
"His Excellency Aftab Ahmed Khan Sherpao, Minister of Interior of the Islamic Republic of Pakistan","Aftab Ahmed Khan Sherpao, Minister of Interior of the Islamic Republic of Pakistan",,Aftab Ahmed Khan Sherpao,
Dr. Chan Laiwan and the China Red Sandaklwood Museum in Beijing,Chan Laiwan and the China Red Sandaklwood Museum in Beijing,,Chan Laiwan and the China Red Sandaklwood Museum in Beijing,
"Dr. Faisal Bin Abdel Karim Ali Al Khamis, Qassim Chamber of Commerce","Faisal Bin Abdel Karim Ali Al Khamis, Qassim Chamber of Commerce",,Faisal Bin Abdel Karim Ali Al Khamis,
"Sheikh Saud Salim Bahwan, Chairman of the Saud Bahwan Group","Sheikh Saud Salim Bahwan, Chairman of the Saud Bahwan Group",,Sheikh Saud Salim Bahwan,
"His Excellency Salim bin Aufit al Shanfari, Chairman of Dhofar Municipality, Sultanate of Oman","Salim bin Aufit al Shanfari, Chairman of Dhofar Municipality, Sultanate of Oman",,Salim bin Aufit al Shanfari,
"Haji Elmas, Member of Parliament from Parwan Province, Afghanistan","Haji Elmas, Member of Parliament from Parwan Province, Afghanistan",,Haji Elmas,
"Her Royal Highness Sheikha Sabika Bint Ibrahim Al Khalifa, Wife of the King of the Kingdom of Bahrain","Sheikha Sabika Bint Ibrahim Al Khalifa, Wife of the King of the Kingdom of Bahrain",,Sheikha Sabika Bint Ibrahim Al Khalifa,
"Major General Abdul-Rahman Al-Marshed, Minister of Defense and Aviation Chief of Intelligence & Security (J2), Saudi Arabia","Major General Abdul-Rahman Al-Marshed, Minister of Defense and Aviation Chief of Intelligence & Security (J2), Saudi Arabia",,Abdul-Rahman Al-Marshed,
"Mr. Abdal Rahman Had-Hood, the Chief, Analysis Branch, Kuwait Department of Military Intelligence and Security, State of Kuwait","Abdal Rahman Had-Hood, the Chief, Analysis Branch, Kuwait Department of Military Intelligence and Security, State of Kuwait",,Abdal Rahman Had-Hood,
"Mrs. Gloria Rodriguez de Moreno, Wife of Vice Commander of the Columbian Military Forces","Gloria Rodriguez de Moreno, Wife of Vice Commander of the Columbian Military Forces",,Gloria Rodriguez de Moreno,
"Dr. Sheikh al Jaber Ali al Sabah, Kuwait Port Authority, State of Kuwait","Sheikh al Jaber Ali al Sabah, Kuwait Port Authority, State of Kuwait",,Sheikh al Jaber Ali al Sabah,
"His Excellency Falah Hassan, Ministry of Interior, Republic of Iraq","Falah Hassan, Ministry of Interior, Republic of Iraq",,Falah Hassan,
"Brigadier General Yunis, Commander, Garrison Support, Republic of Iraq","Brigadier General Yunis, Commander, Garrison Support, Republic of Iraq",,Yunis,
"Dr. Mir Muhammad Amin Farhang, Afghan Minister of Commerce","Mir Muhammad Amin Farhang, Afghan Minister of Commerce",,Mir Muhammad Amin Farhang,
"His Excellency Jose Goni Carrasco, Minister of Defense, Chile","Jose Goni Carrasco, Minister of Defense, Chile",,Jose Goni Carrasco,
"Vice Admiral Tarmo Kouts, Chief of Defense Estonia","Vice Admiral Tarmo Kouts, Chief of Defense Estonia",,Tarmo Kouts,
"General Franciszek Gagor, Chief of Defense, Poland","General Franciszek Gagor, Chief of Defense, Poland",,Franciszek Gagor,
"Air Marshal Ajit Bhavanami, Vice Chief of the Air Staff, India","Air Marshal Ajit Bhavanami, Vice Chief of the Air Staff, India",,Ajit Bhavanami,
"Admiral Marco Peytro Gonzalez, Secretary of the Navy, Mexico","Admiral Marco Peytro Gonzalez, Secretary of the Navy, Mexico",,Marco Peytro Gonzalez,
"General of the Army Mihail Popescu, Chief of Defense, Romania","General of the Army Mihail Popescu, Chief of Defense, Romania",,of the Army Mihail Popescu,
"His Excellency President Jalal Talibani, President of Iraq","President Jalal Talibani, President of Iraq",,Jalal Talibani,
"His Excellency King Abdullah, Saudi Arabia","King Abdullah, Saudi Arabia",,King Abdullah,
"Admiral David Moreno, Chief of Defense, Colombia","Admiral David Moreno, Chief of Defense, Colombia",,David Moreno,
"General of the Army, Yurly Niklayevich Baluyevskiy, Chief of Defense, Russia","General of the Army, Yurly Niklayevich Baluyevskiy, Chief of Defense, Russia",,of the Army,
"Lieutenant General Jovan Lakcevic, Chief of Staff, Montenegro","Lieutenant General Jovan Lakcevic, Chief of Staff, Montenegro",,Jovan Lakcevic,
"Ivan C. Fernald, Minister of Defense, Suriname","Ivan C. Fernald, Minister of Defense, Suriname",,Ivan C. Fernald,
"President Runaldo Ronald Venetiaan, Suriname","President Runaldo Ronald Venetiaan, Suriname",,Runaldo Ronald Venetiaan,
"Lieutenant General GSC Fonseka, Commander of the Sri Lanka Army","Lieutenant General GSC Fonseka, Commander of the Sri Lanka Army",,GSC Fonseka,
"His Excellency Kim Jang-Soo, Minister of National Defense, South Korea","Kim Jang-Soo, Minister of National Defense, South Korea",,Kim Jang-Soo,
"His Excellency King Abdullah bin Abdul al-Saud, Bahrain","King Abdullah bin Abdul al-Saud, Bahrain",,King Abdullah bin Abdul al-Saud,
"His Excellency Jang Soo Kim, Minister of Defense, Republic of Korea","Jang Soo Kim, Minister of Defense, Republic of Korea",,Jang Soo Kim,
"His Excellency King Abdullah bin Abdul-Aziz al-Saud, Saudi Arabia","King Abdullah bin Abdul-Aziz al-Saud, Saudi Arabia",,King Abdullah bin Abdul-Aziz al-Saud,
"General Khalid Al Sarayreh, Chairman of the Joint Chief of Staff, Jordan Armed Forces","General Khalid Al Sarayreh, Chairman of the Joint Chief of Staff, Jordan Armed Forces",,Khalid Al Sarayreh,
"Lieutenant General Gianni Botondi, Secretary General of Defense and National Armaments, Director, Rome, Italy","Lieutenant General Gianni Botondi, Secretary General of Defense and National Armaments, Director, Rome, Italy",,Gianni Botondi,
"His Majesty King Abdullah bin-al Hussein, Jordan","King Abdullah bin-al Hussein, Jordan",,King Abdullah bin-al Hussein,
"Jye Lee, Minister of Defense, Taiwan","Jye Lee, Minister of Defense, Taiwan",,Jye Lee,
"His Excellency Kyuma, Minister of Defense, Japan","Kyuma, Minister of Defense, Japan",,Kyuma,
"His Excellency Saleh, President, Yemen","Saleh, President, Yemen",,Saleh,
"Major General Duaij Salman Al Khalifa, Country Unknown","Major General Duaij Salman Al Khalifa, Country Unknown",,Duaij Salman Al Khalifa,
"General Lieutenant Ismail Isakovich Isakov, Minister of Defense, Kyrgyzstan","General Lieutenant Ismail Isakovich Isakov, Minister of Defense, Kyrgyzstan",,Lieutenant Ismail Isakovich Isakov,
"General Ilker Basbug, Commander, Turkish 1st Army, Turkey","General Ilker Basbug, Commander, Turkish 1st Army, Turkey",,Ilker Basbug,
"Rear Admiral Muhammad Jawad Leader, Iraqi Navy","Rear Admiral Muhammad Jawad Leader, Iraqi Navy",,Muhammad Jawad Leader,
"Admiral M Azfal Tahir Ni(M), Chief of Naval Staff, Pakistan","Admiral M Azfal Tahir Ni(M), Chief of Naval Staff, Pakistan",,M Azfal Tahir Ni(M),
"Fleet Admiral Vladimir Vasilyevich Masorin, Commander in Chief Russian Federation Navy","Fleet Admiral Vladimir Vasilyevich Masorin, Commander in Chief Russian Federation Navy",,Vladimir Vasilyevich Masorin,
"Rear Admiral Minko Kavaldzhiev, Commander in Chief, Bulgarian Navy","Rear Admiral Minko Kavaldzhiev, Commander in Chief, Bulgarian Navy",,Minko Kavaldzhiev,
"Rear Admiral Fhd Ahmed Al-Kayyal CDR, Royal Saudi Naval Forces Eastern Fleet Command","Rear Admiral Fhd Ahmed Al-Kayyal CDR, Royal Saudi Naval Forces Eastern Fleet Command",,Fhd Ahmed Al-Kayyal CDR,
"Commodore David Anson, Royal New Zealand Navy","Commodore David Anson, Royal New Zealand Navy",,Commodore David Anson,
Master Sword Engraver Yanigamura,Master Sword Engraver Yanigamura,,Master Sword Engraver Yanigamura,
"Waleed Fahel Al-Fadhel Ministry of Awqaf, Assistant Undersecretary for Cultural Affairs","Waleed Fahel Al-Fadhel Ministry of Awqaf, Assistant Undersecretary for Cultural Affairs",,Waleed Fahel Al-Fadhel Ministry of Awqaf,
"Admiral Panagiotis Chinifotis, Chief Hellenic National Defense General Staff","Admiral Panagiotis Chinifotis, Chief Hellenic National Defense General Staff",,Panagiotis Chinifotis,
"Rear Admiral Sedger Dulger, COMSUBTURGROUP Rear Admiral Celal Parlakoglu, COMTURNAVAKBASE and Rear Admiral Bulent Bostanoglu COMTURFLEET","Rear Admiral Sedger Dulger, COMSUBTURGROUP Rear Admiral Celal Parlakoglu, COMTURNAVAKBASE and Rear Admiral Bulent Bostanoglu COMTURFLEET",,Sedger Dulger,
"Captain Eutihios Nikolidakis, COMHELSUB","Captain Eutihios Nikolidakis, COMHELSUB",,Eutihios Nikolidakis,
"Mohammed Abdullah al-Ayeeshe, Major General, Deputy Commander, Royal Saudi Air Force, Riyadh, Kingdom of Saudi Arabia","Mohammed Abdullah al-Ayeeshe, Major General, Deputy Commander, Royal Saudi Air Force, Riyadh, Kingdom of Saudi Arabia",,Mohammed Abdullah al-Ayeeshe,
Colonel Mahash Saeed Salem Al Hamel. Chief of Security and Chief of the Unmanned Aeriel Vehicles Operations Division,Colonel Mahash Saeed Salem Al Hamel. Chief of Security and Chief of the Unmanned Aeriel Vehicles Operations Division,,Mahash Saeed Salem Al Hamel. Chief of Security and Chief of the Unmanned Aeriel Vehicles Operations Division,
"Lieutenant Colonel Rezgar Barzani of Iraq, Kurdistand Regional Government, Parastin Intelligence Service","Lieutenant Colonel Rezgar Barzani of Iraq, Kurdistand Regional Government, Parastin Intelligence Service",,Rezgar Barzani of Iraq,
"Major General Mohammed Sowaidan Al-Gimzy, United Arab Emirates Air Force Chief of Staff","Major General Mohammed Sowaidan Al-Gimzy, United Arab Emirates Air Force Chief of Staff",,Mohammed Sowaidan Al-Gimzy,
"Lieutenant General Fahed Al-Amir, Chief of Staff, Kuwait Armed Forces, State of Kuwait","Lieutenant General Fahed Al-Amir, Chief of Staff, Kuwait Armed Forces, State of Kuwait",,Fahed Al-Amir,
"Dr. Sabyrek Djumabekov, Chief of Orthopaedy and Traumatology, Kyrgyz Medical Academy, Kyrgyz Republic","Sabyrek Djumabekov, Chief of Orthopaedy and Traumatology, Kyrgyz Medical Academy, Kyrgyz Republic",,Sabyrek Djumabekov,
"Brigadier Mubarak Mohammed Al Kuwait Al Kharayin, Qatari Air Chief, State of Qatar","Brigadier Mubarak Mohammed Al Kuwait Al Kharayin, Qatari Air Chief, State of Qatar",,Brigadier Mubarak Mohammed Al Kuwait Al Kharayin,
"Minister Sun Wensheng, Chinese Minister of Land and Resources","Minister Sun Wensheng, Chinese Minister of Land and Resources",,Minister Sun Wensheng,
"Professor Petr Hlavinek, Brno University of Technology, via a grant from North Atlantic Treaty Organization","Professor Petr Hlavinek, Brno University of Technology, via a grant from North Atlantic Treaty Organization",,Professor Petr Hlavinek,
"Honorable Nei Jinglie, Chinese State Environmental Protection Agency","Honorable Nei Jinglie, Chinese State Environmental Protection Agency",,Honorable Nei Jinglie,
"Honorable Terry A'Hearn, Director, Sustainability Directorate, Environment Protection Authority of Victoria, Australia","Honorable Terry A'Hearn, Director, Sustainability Directorate, Environment Protection Authority of Victoria, Australia",,Honorable Terry A'Hearn,
North Atlantic Treaty Organization,North Atlantic Treaty Organization,,North Atlantic Treaty Organization,
"Mr. Francesco Seminara, Councilor for Trade, Industry and Handicrafts, Catania Regional Province, Italy","Francesco Seminara, Councilor for Trade, Industry and Handicrafts, Catania Regional Province, Italy",,Francesco Seminara,
"His Majesty Shaykh Hamad bin Essa Al Khalifa, King of the Kingdom of Bahrain","Shaykh Hamad bin Essa Al Khalifa, King of the Kingdom of Bahrain",,Shaykh Hamad bin Essa Al Khalifa,
Her Excellency The President of the Republic of Latvia and Mr. Imants Freibergs,The President of the Republic of Latvia and Imants Freibergs,,of the Republic of Latvia and Imants Freibergs,
"His Excellency Sir Christopher Meyer, KCMG, Ambassador of Great Britain","Sir Christopher Meyer, KCMG, Ambassador of Great Britain",,Sir Christopher Meyer,
His Eminence Pio Cardinal Laghi,His Eminence Pio Cardinal Laghi,,His Eminence Pio Cardinal Laghi,
"The Right Honorable Paul Murphy, M.P., Secretary of State for Northern Ireland","Paul Murphy, M.P., Secretary of State for Northern Ireland",,Paul Murphy,
His Excellency The President of the Slovak Republic and Mrs. Schusterova,The President of the Slovak Republic and Schusterova,,of the Slovak Republic and Schusterova,
"His Royal Highness Crown Prince Vajiralongkorn, Kingdom of Thailand","Crown Prince Vajiralongkorn, Kingdom of Thailand",,Crown Prince Vajiralongkorn,
"His Excellency Luiz Inacio Lula da Silva, President of the Federative Republic of Brazil","Luiz Inacio Lula da Silva, President of the Federative Republic of Brazil",,Luiz Inacio Lula da Silva,
His Excellency Constantine Simitis Prime Minister of the Hellenic Republic,Constantine Simitis Prime Minister of the Hellenic Republic,,Constantine Simitis Prime Minister of the Hellenic Republic,
His Excellency The President of the Republic of Senegal and Mrs. Wade,The President of the Republic of Senegal and Wade,,of the Republic of Senegal and Wade,
His Excellency Abdoulaye Wade President of the Republic of Senegal,Abdoulaye Wade President of the Republic of Senegal,,of the Republic of Senegal,
His Excellency The President of the Argentine Nation and Mrs. Kirchner,The President of the Argentine Nation and Kirchner,,of the Argentine Nation and Kirchner,
"His Excellency Mohammad Aref Noorzai, Minister of Borders and Tribal Affairs of The Islamic Transitional State of Afghanistan","Mohammad Aref Noorzai, Minister of Borders and Tribal Affairs of The Islamic Transitional State of Afghanistan",,Mohammad Aref Noorzai,
"His Highness Sheikh Sabah Al-Ahmed Al-Jaber Al-Sabah, Prime Minister of the State of Kuwait","Sheikh Sabah Al-Ahmed Al-Jaber Al-Sabah, Prime Minister of the State of Kuwait",,Sheikh Sabah Al-Ahmed Al-Jaber Al-Sabah,
"Police General Sant Sarutanond, Commissioner General of the Royal Thai Police","Police General Sant Sarutanond, Commissioner General of the Royal Thai Police",,Sant Sarutanond,
His Excellency The Prime Minister of the Kingdom of Thailand and Khunying Shinawatra,The Prime Minister of the Kingdom of Thailand and Khunying Shinawatra,,The Prime Minister of the Kingdom of Thailand and Khunying Shinawatra,
"The Honorable Franklin M. Drilon, President of the Senate of the Philippines","Franklin M. Drilon, President of the Senate of the Philippines",,Franklin M. Drilon,
"His Royal Highness, The Prince Andrew, Duke of York","The Prince Andrew, Duke of York",,The Prince Andrew,
Embassy of the Republic of Mauritius,Embassy of the Republic of Mauritius,,Embassy of the Republic of Mauritius,
His Excellency The President of Mongolia and Mrs. A. Oyunbileg,The President of Mongolia and A. Oyunbileg,,of Mongolia and A. Oyunbileg,
"Mrs. Aleksandra Miller, Office of the Prime Minister of the Republic of Poland","Aleksandra Miller, Office of the Prime Minister of the Republic of Poland",,Aleksandra Miller,
"Mrs. Barbara Mogae, Office of the President of the Republic of Botswana","Barbara Mogae, Office of the President of the Republic of Botswana",,Barbara Mogae,
"The Honorable and Mrs. Franklin M. Drilon, Office of the Senate, President, Republic of the Philippines","and Franklin M. Drilon, Office of the Senate, President, Republic of the Philippines",,and Franklin M. Drilon,
"Mrs. Stella Obassanjo, First Lady of the Federal Republic of Nigeria","Stella Obassanjo, of the Federal Republic of Nigeria",,Stella Obassanjo,
"Mrs. Viktoria Spidlova, Office of the Prime Minister of the Czech Republic","Viktoria Spidlova, Office of the Prime Minister of the Czech Republic",,Viktoria Spidlova,
"First Lady Margot Klestil-Loeffler, Office of the President of the Republic of Austria","Margot Klestil-Loeffler, Office of the President of the Republic of Austria",,Margot Klestil-Loeffler,
His Excellency Junichiro Koizumi Prime Minister of Japan,Junichiro Koizumi Prime Minister of Japan,,Junichiro Koizumi Prime Minister of Japan,
"Khunying Potjaman Shinawatra, Office of the Prime Minister of the Kingdom of Thailand","Khunying Potjaman Shinawatra, Office of the Prime Minister of the Kingdom of Thailand",,Khunying Potjaman Shinawatra,
